IND,Plot,Wet Weight,LA,Dry Mass,Trichomes,Serrations
ALNINC_GR_1_2,5,0.9958,,0.32158,,
ALNINC_SH_6_1,5,0.588,,0.21592,,
ALNINC_SH_6_2,5,0.485,,0.16986,,
ALNINC_GR_8B_1,5,0.947,,0.21618,,
ALNINC_GR_8B_2,5,0.625,,0.033849,,
ALNINC_GR_8A_1,5,0.513,,0.18331,,
ALNINC_GR_8A_2,5,0.776,,0.2469,,
AMECAN_GR_10A_1,5,0.144,,0.05526,,
AMECAN_GR_10A_2,5,0.166,,0.06239,,
ACEPEN_HF_12_1,5,0.26,,0.0664,,
ACEPEN_HF_12_2,5,0.174,,0.04627,,
BETALL_WM_9_1,5,0.197,,0.05702,,
BETALL_WM_9_2,5,0.325,,0.09139,,
BETPAP_GR_8_1,5,0.177,,0.04965,,
BETPAP_GR_8_2,5,0.44,,0.14504,,
BETALL_WM_8A_1,5,0.348,,0.11971,,
BETALL_WM_8A_2,5,0.419,,0.10001,,
QUERUB_HF_99_1,5,0.5714,,0.24195,,
QUERUB_HF_99_2,5,1.15748,,0.52241,,
QUERUB_GR_9_1,5,0.64555,,0.28397,,
QUERUB_GR_9_2,5,0.6999,,0.29221,,
BETPOP_WM_7_1,6,0.3868,,0.13753,,
BETPOP_WM_7_2,6,0.32602,,0.11472,,
AMECAN_GR_10_1,6,0.343,,0.13888,,
AMECAN_GR_10_2,6,0.2617,,0.10971,,
AMECAN_SH_2_1,6,0.0838,,0.03456,,
AMECAN_SH_2_2,6,0.0766,,0.02948,,
BETPOP_HF_5_1,6,0.3617,,0.11919,,
BETPOP_HF_5_2,6,0.4837,,0.16157,,
ALNINC_HF_9_1,6,0.6383,,0.20782,,
ALNINC_HF_9_2,6,0.812,,0.27264,,
BETALL_SH_2_1,6,0.7048,,0.21348,,
BETALL_SH_2_2,6,0.459,,0.13841,,
BETALL_SH_5_1,6,0.5175,,0.15295,,
BETALL_SH_5_2,6,0.3402,,0.10874,,
ALNINC_HF_5_1,6,0.5556,,0.17002,,
ALNINC_HF_5_2,6,0.7589,,0.24713,,
BETPAP_GR_8_1,6,0.2638,,0.09462,,
BETPAP_GR_8_2,6,0.221,,0.07578,,
AMECAN_SH_4_1,6,0.3401,,0.12723,,
AMECAN_SH_4_2,6,0.331,,0.11177,,
BETPOP_HF_3B_1,6,0.431,,0.15968,,
BETPOP_HF_3B_2,6,0.43,,0.15803,,
BETPOP_HF_3A_1,6,0.2169,,0.07708,,
BETPOP_HF_3A_2,6,0.4334,,0.12815,,
BETPOP_GR_3_1,6,0.384,,0.12877,,
BETPOP_GR_3_2,6,0.4347,,0.14662,,
BETPOP_GR_5_1,6,0.3888,,0.13564,,
BETPOP_GR_5_2,6,0.3648,,0.12533,,
BETALL_SH_9_1,6,0.5164,,0.16035,,
BETALL_SH_9_2,6,0.502,,0.15766,,
BETPAP_HF_16A_1,6,0.8852,,0.28189,lots,
BETPAP_HF_16A_2,6,0.852,,0.28216,lots,
BETPAP_HF_16B_1,6,0.4835,,0.14576,lots,
