"spp","site","ind","plot","year","budburst","leafout","budset","risk","Plot","provenance.lat","provenance.long"
"BETALL","GR","13","2",2019,107,123,260,16,NA,44.794942,-71.146683
"BETALL","GR","14","15",2019,107,119,249,12,NA,44.794942,-71.146683
"BETALL","GR","14","16",2019,97,119,249,22,NA,44.794942,-71.146683
"BETALL","GR","9","3",2019,103,127,249,24,NA,44.794942,-71.146683
"BETALL","SH","2","6",2019,100,115,249,15,NA,45.932675,-74.02507
"BETALL","SH","4","3",2019,107,135,263,28,NA,45.932675,-74.02507
"BETALL","SH","4A","9",2019,107,119,263,12,NA,45.932675,-74.02507
"BETALL","SH","4B","9",2019,112,119,249,7,NA,45.932675,-74.02507
"BETALL","SH","5","6",2019,107,119,263,12,NA,45.932675,-74.02507
"BETALL","SH","7","16",2019,112,119,260,7,NA,45.932675,-74.02507
"BETALL","SH","9","6",2019,112,127,249,15,NA,45.932675,-74.02507
"BETALL","SH","9","9",2019,112,119,263,7,NA,45.932675,-74.02507
"BETALL","WM","8","1",2019,112,135,260,23,NA,44.112337,-71.230138
"BETALL","WM","8","9",2019,107,119,260,12,NA,44.112337,-71.230138
"BETALL","WM","8A","12",2019,107,115,260,8,NA,44.112337,-71.230138
"BETALL","WM","8A","5",2019,107,123,249,16,NA,44.112337,-71.230138
"BETALL","WM","8B","12",2019,103,127,274,24,NA,44.112337,-71.230138
"BETALL","WM","8B","5",2019,100,127,260,27,NA,44.112337,-71.230138
"BETALL","WM","9","16",2019,NA,150,NA,NA,NA,44.112337,-71.230138
"BETALL","WM","9","5",2019,107,127,260,20,NA,44.112337,-71.230138
"BETPAP","GR","5","1",2019,107,127,274,20,NA,44.794942,-71.146683
"BETPAP","GR","5A","2",2019,112,127,263,15,NA,44.794942,-71.146683
"BETPAP","GR","5B","2",2019,100,155,NA,55,NA,44.794942,-71.146683
"BETPAP","GR","8","12",2019,107,115,260,8,NA,44.794942,-71.146683
"BETPAP","GR","8","3",2019,112,123,274,11,NA,44.794942,-71.146683
"BETPAP","GR","8","5",2019,100,119,274,19,NA,44.794942,-71.146683
"BETPAP","GR","8","6",2019,107,135,263,28,NA,44.794942,-71.146683
"BETPAP","HF","16","12",2019,103,119,NA,16,NA,42.531705,-72.18992
"BETPAP","HF","16","2",2019,107,115,NA,8,NA,42.531705,-72.18992
"BETPAP","HF","16","3",2019,103,119,274,16,NA,42.531705,-72.18992
"BETPAP","HF","16","5",2019,103,119,274,16,NA,42.531705,-72.18992
"BETPAP","HF","16A","6",2019,100,115,274,15,NA,42.531705,-72.18992
"BETPAP","HF","16B","6",2019,103,115,267,12,NA,42.531705,-72.18992
"BETPAP","SH","1A","1",2019,112,129,274,17,NA,45.932675,-74.02507
"BETPAP","SH","1B","1",2019,107,119,274,12,NA,45.932675,-74.02507
"BETPOP","GR","3","16",2019,NA,150,NA,NA,NA,44.794942,-71.146683
"BETPOP","GR","3","6",2019,100,112,NA,12,NA,44.794942,-71.146683
"BETPOP","GR","5","1",2019,103,119,NA,16,NA,44.794942,-71.146683
"BETPOP","GR","5","6",2019,112,127,263,15,NA,44.794942,-71.146683
"BETPOP","GR","5A","12",2019,NA,127,274,NA,NA,44.794942,-71.146683
"BETPOP","GR","5A","3",2019,112,129,267,17,NA,44.794942,-71.146683
"BETPOP","GR","5B","12",2019,107,119,274,12,NA,44.794942,-71.146683
"BETPOP","GR","5B","3",2019,112,129,260,17,NA,44.794942,-71.146683
"BETPOP","GR","5C","12",2019,107,127,240,20,NA,44.794942,-71.146683
"BETPOP","HF","1","2",2019,103,119,267,16,NA,42.531705,-72.18992
"BETPOP","HF","1","3",2019,112,119,274,7,NA,42.531705,-72.18992
"BETPOP","HF","3","1",2019,112,127,NA,15,NA,42.531705,-72.18992
"BETPOP","HF","3A","6",2019,103,115,274,12,NA,42.531705,-72.18992
"BETPOP","HF","3B","6",2019,103,119,260,16,NA,42.531705,-72.18992
"BETPOP","HF","4","9",2019,107,127,260,20,NA,42.531705,-72.18992
"BETPOP","HF","5","2",2019,103,115,263,12,NA,42.531705,-72.18992
"BETPOP","HF","5","6",2019,103,119,NA,16,NA,42.531705,-72.18992
"BETPOP","WM","7","1",2019,97,112,NA,15,NA,44.112337,-71.230138
"BETPOP","WM","7","15",2019,103,119,274,16,NA,44.112337,-71.230138
"BETPOP","WM","7","2",2019,103,119,267,16,NA,44.112337,-71.230138
"BETPOP","WM","7","3",2019,103,119,274,16,NA,44.112337,-71.230138
"BETPOP","WM","7","6",2019,100,112,274,12,NA,44.112337,-71.230138
"BETPOP","WM","7","9",2019,100,112,260,12,NA,44.112337,-71.230138
"BETPOP","WM","8","15",2019,100,119,263,19,NA,44.112337,-71.230138
"BETPOP","WM","8","16",2019,97,115,274,18,NA,44.112337,-71.230138
"BETPOP","WM","9","15",2019,107,115,267,8,NA,44.112337,-71.230138
"BETPOP","X","3",NA,2019,100,119,274,19,NA,NA,NA
"DIELON","GR","2","14",2019,97,115,249,18,NA,44.794942,-71.146683
"DIELON","GR","5A","7",2019,NA,112,253,NA,NA,44.794942,-71.146683
"DIELON","GR","5B","7",2019,93,112,256,19,NA,44.794942,-71.146683
"DIELON","GR","5C","7",2019,93,119,249,26,NA,44.794942,-71.146683
"DIELON","GR","6","14",2019,97,115,249,18,NA,44.794942,-71.146683
"DIELON","GR","8","13",2019,93,119,249,26,NA,44.794942,-71.146683
"DIELON","HF","1","10",2019,NA,129,256,NA,NA,42.531705,-72.18992
"DIELON","HF","1A","7",2019,93,112,256,19,NA,42.531705,-72.18992
"DIELON","HF","1B","7",2019,93,112,249,19,NA,42.531705,-72.18992
"DIELON","HF","2","7",2019,93,112,253,19,NA,42.531705,-72.18992
"DIELON","HF","2A","13",2019,NA,115,263,NA,NA,42.531705,-72.18992
"DIELON","HF","2B","13",2019,100,127,245,27,NA,42.531705,-72.18992
"DIELON","HF","2C","13",2019,93,115,245,22,NA,42.531705,-72.18992
"DIELON","HF","3","7",2019,93,119,256,26,NA,42.531705,-72.18992
"DIELON","HF","4","7",2019,NA,112,256,NA,NA,42.531705,-72.18992
"DIELON","SH","12","10",2019,NA,112,NA,NA,NA,45.932675,-74.02507
"DIELON","SH","2A","13",2019,93,112,245,19,NA,45.932675,-74.02507
"DIELON","SH","2B","13",2019,93,119,249,26,NA,45.932675,-74.02507
"DIELON","SH","4","10",2019,NA,135,253,NA,NA,45.932675,-74.02507
"DIELON","SH","4","13",2019,93,112,249,19,NA,45.932675,-74.02507
"DIELON","SH","4","14",2019,93,112,249,19,NA,45.932675,-74.02507
"DIELON","SH","4","7",2019,97,112,256,15,NA,45.932675,-74.02507
"DIELON","WM","1A","13",2019,97,112,253,15,NA,44.112337,-71.230138
"DIELON","WM","1B","13",2019,93,115,256,22,NA,44.112337,-71.230138
"DIELON","WM","1C","13",2019,93,115,253,22,NA,44.112337,-71.230138
"DIELON","WM","7",NA,2019,107,112,253,5,NA,44.112337,-71.230138
"MYRGAL","GR","8A","4",2019,112,119,245,7,NA,44.794942,-71.146683
"MYRGAL","GR","8B","4",2019,123,150,240,27,NA,44.794942,-71.146683
"MYRGAL","GR","8C","4",2019,112,NA,249,NA,NA,44.794942,-71.146683
"MYRGAL","GR","8D","4",2019,112,135,249,23,NA,44.794942,-71.146683
"MYRGAL","SH","1","8",2019,112,123,249,11,NA,45.932675,-74.02507
"MYRGAL","SH","1A","4",2019,112,119,232,7,NA,45.932675,-74.02507
"MYRGAL","SH","1B","4",2019,112,135,240,23,NA,45.932675,-74.02507
"MYRGAL","SH","2","8",2019,112,127,249,15,NA,45.932675,-74.02507
"MYRGAL","SH","2A","4",2019,112,115,240,3,NA,45.932675,-74.02507
"MYRGAL","SH","2B","4",2019,112,129,249,17,NA,45.932675,-74.02507
"MYRGAL","SH","99","14",2019,107,119,253,12,NA,45.932675,-74.02507
"MYRGAL","WM","6","14",2019,107,119,253,12,NA,44.112337,-71.230138
"MYRGAL","WM","6A","11",2019,112,129,249,17,NA,44.112337,-71.230138
"MYRGAL","WM","6A","4",2019,112,127,240,15,NA,44.112337,-71.230138
"MYRGAL","WM","6A","8",2019,112,119,249,7,NA,44.112337,-71.230138
"MYRGAL","WM","6B","11",2019,112,119,249,7,NA,44.112337,-71.230138
"MYRGAL","WM","6B","4",2019,112,127,240,15,NA,44.112337,-71.230138
"MYRGAL","WM","6B","8",2019,112,119,249,7,NA,44.112337,-71.230138
"QUEALB","HF","4","15",2019,119,140,245,21,NA,42.531705,-72.18992
"QUEALB","HF","4A","16",2019,115,127,232,12,NA,42.531705,-72.18992
"QUEALB","HF","4B","16",2019,129,147,249,18,NA,42.531705,-72.18992
"QUERUB","HF","9","5",2019,NA,123,232,NA,NA,42.531705,-72.18992
"QUERUB","HF","99","5",2019,135,147,232,12,NA,42.531705,-72.18992
"QUERUB","WM","9","9",2019,NA,140,249,NA,NA,44.112337,-71.230138
"SAMRAC","GR","1","10",2019,97,119,NA,22,NA,44.794942,-71.146683
"SAMRAC","GR","2","7",2019,93,112,253,19,NA,44.794942,-71.146683
"SAMRAC","GR","4","7",2019,93,112,260,19,NA,44.794942,-71.146683
"SAMRAC","GR","4A","14",2019,119,135,NA,16,NA,44.794942,-71.146683
"SAMRAC","GR","7","10",2019,93,112,274,19,NA,44.794942,-71.146683
"SAMRAC","GR","7A","7",2019,93,112,260,19,NA,44.794942,-71.146683
"SAMRAC","GR","7B","7",2019,93,112,274,19,NA,44.794942,-71.146683
"SAMRAC","GR","8","13",2019,NA,112,NA,NA,NA,44.794942,-71.146683
"SAMRAC","GR","9","7",2019,93,112,249,19,NA,44.794942,-71.146683
"SAMRAC","HF","A","10",2019,86,115,274,29,NA,42.531705,-72.18992
"SAMRAC","HF","A","13",2019,86,115,NA,29,NA,42.531705,-72.18992
"SAMRAC","HF","B","10",2019,86,115,274,29,NA,42.531705,-72.18992
"SAMRAC","HF","B","13",2019,86,119,274,33,NA,42.531705,-72.18992
"SAMRAC","HF","C","13",2019,86,115,274,29,NA,42.531705,-72.18992
"SAMRAC","HF","D","13",2019,86,115,274,29,NA,42.531705,-72.18992
"SORAME","GR","9A","7",2019,119,140,249,21,NA,44.794942,-71.146683
"SORAME","GR","9B","10",2019,NA,119,245,NA,NA,44.794942,-71.146683
"SORAME","GR","9B","7",2019,97,115,245,18,NA,44.794942,-71.146683
"SORAME","GR","9C","7",2019,107,123,245,16,NA,44.794942,-71.146683
"SORAME","GR","9D","7",2019,115,135,249,20,NA,44.794942,-71.146683
"SORAME","SH","1A","13",2019,97,115,240,18,NA,45.932675,-74.02507
"SORAME","SH","1B","13",2019,97,115,240,18,NA,45.932675,-74.02507
"SORAME","SH","3","13",2019,119,140,240,21,NA,45.932675,-74.02507
"SORAME","SH","3","14",2019,112,127,245,15,NA,45.932675,-74.02507
"SORAME","SH","3","7",2019,107,119,240,12,NA,45.932675,-74.02507
"SORAME","SH","3A","10",2019,NA,155,NA,NA,NA,45.932675,-74.02507
"SORAME","SH","3B","10",2019,112,119,NA,7,NA,45.932675,-74.02507
"SPIALB","GR","12","4",2019,97,112,NA,15,NA,44.794942,-71.146683
"SPIALB","GR","12A","8",2019,93,127,274,34,NA,44.794942,-71.146683
"SPIALB","GR","12B","8",2019,100,115,263,15,NA,44.794942,-71.146683
"SPIALB","GR","3","4",2019,97,112,256,15,NA,44.794942,-71.146683
"SPIALB","GR","3","8",2019,93,112,256,19,NA,44.794942,-71.146683
"SPIALB","GR","7","4",2019,93,112,267,19,NA,44.794942,-71.146683
"SPIALB","GR","9","8",2019,93,112,NA,19,NA,44.794942,-71.146683
"SPIALB","HF","1","4",2019,93,112,NA,19,NA,42.531705,-72.18992
"SPIALB","HF","10","11",2019,97,112,256,15,NA,42.531705,-72.18992
"SPIALB","HF","2","8",2019,97,115,267,18,NA,42.531705,-72.18992
"SPIALB","HF","3","8",2019,93,112,NA,19,NA,42.531705,-72.18992
"SPIALB","HF","4A","11",2019,93,112,274,19,NA,42.531705,-72.18992
"SPIALB","HF","4A","4",2019,93,112,NA,19,NA,42.531705,-72.18992
"SPIALB","HF","4B","11",2019,100,115,NA,15,NA,42.531705,-72.18992
"SPIALB","HF","8","4",2019,93,112,253,19,NA,42.531705,-72.18992
"SPIALB","SH","1","4",2019,97,112,260,15,NA,45.932675,-74.02507
"SPIALB","SH","4A","4",2019,93,112,267,19,NA,45.932675,-74.02507
"SPIALB","SH","4B","4",2019,93,115,NA,22,NA,45.932675,-74.02507
"SPIALB","SH","7","4",2019,93,115,274,22,NA,45.932675,-74.02507
"SPIALB","SH","7A","8",2019,97,112,263,15,NA,45.932675,-74.02507
"SPIALB","SH","7B","8",2019,93,112,253,19,NA,45.932675,-74.02507
"SPIALB","SH","8","4",2019,93,112,263,19,NA,45.932675,-74.02507
"SPIALB","SH","9A","4",2019,93,112,263,19,NA,45.932675,-74.02507
"SPIALB","SH","9B","4",2019,97,115,260,18,NA,45.932675,-74.02507
"SPIALB","WM","2A","4",2019,97,115,263,18,NA,44.112337,-71.230138
"SPIALB","WM","2B","11",2019,93,112,253,19,NA,44.112337,-71.230138
"SPIALB","WM","2B","4",2019,97,115,NA,18,NA,44.112337,-71.230138
"SPIALB","WM","4A","11",2019,93,112,NA,19,NA,44.112337,-71.230138
"SPIALB","WM","4B","11",2019,93,112,NA,19,NA,44.112337,-71.230138
"SPIALB","WM","4C","11",2019,93,112,NA,19,NA,44.112337,-71.230138
"SPIALB","WM","5","11",2019,93,112,253,19,NA,44.112337,-71.230138
"SPIALB","WM","7A","4",2019,97,112,263,15,NA,44.112337,-71.230138
"SPIALB","WM","7A","8",2019,93,112,NA,19,NA,44.112337,-71.230138
"SPIALB","WM","7B","4",2019,93,112,NA,19,NA,44.112337,-71.230138
"SPIALB","WM","7B","8",2019,97,112,253,15,NA,44.112337,-71.230138
"SPITOM","GR","1","8",2019,97,119,253,22,NA,44.794942,-71.146683
"SPITOM","GR","1A","11",2019,97,119,253,22,NA,44.794942,-71.146683
"SPITOM","GR","1B","11",2019,100,115,253,15,NA,44.794942,-71.146683
"SPITOM","GR","2B","8",2019,97,112,256,15,NA,44.794942,-71.146683
"SPITOM","GR","2C","8",2019,107,119,260,12,NA,44.794942,-71.146683
"SPITOM","GR","2D","8",2019,100,119,263,19,NA,44.794942,-71.146683
"SPITOM","HF","13","8",2019,100,119,253,19,NA,42.531705,-72.18992
"SPITOM","HF","4","8",2019,97,119,249,22,NA,42.531705,-72.18992
"SPITOM","HF","5","11",2019,112,150,260,38,NA,42.531705,-72.18992
"SPITOM","HF","6","11",2019,112,155,NA,43,NA,42.531705,-72.18992
"SPITOM","HF","6A","8",2019,97,115,256,18,NA,42.531705,-72.18992
"SPITOM","HF","6B","8",2019,97,119,260,22,NA,42.531705,-72.18992
