 ,Label,Area,Perim.,
93,SAMRAC_HF_C_1_P13.jpg,0.347,3.759,
94,SAMRAC_HF_C_1_P13.jpg,1.502,8.007,
95,SAMRAC_HF_C_1_P13.jpg,1.888,8.96,
96,SAMRAC_HF_C_1_P13.jpg,1.468,7.869,
97,SAMRAC_HF_C_2_P13.jpg,192.549,149.652,177.767
98,SAMRAC_HF_C_2_P13.jpg,0.148,2.391,
99,SAMRAC_HF_C_2_P13.jpg,0.947,5.767,
100,SAMRAC_HF_C_2_P13.jpg,0.928,5.02,
101,SAMRAC_HF_C_2_P13.jpg,1.95,8.324,
102,SAMRAC_HF_C_2_P13.jpg,1.817,6.613,
103,SAMRAC_HF_D_1_P13.jpeg,252.027,148.825,215.75
104,SAMRAC_HF_D_1_P13.jpeg,5.432,12.617,
105,SAMRAC_HF_D_1_P13.jpeg,0.404,3.335,
106,SAMRAC_HF_D_1_P13.jpeg,2.214,8.468,
107,SAMRAC_HF_D_1_P13.jpeg,2.104,7.901,
108,SAMRAC_HF_D_1_P13.jpeg,1.477,6.317,
109,SAMRAC_HF_D_1_P13.jpeg,2.882,9.508,
110,SAMRAC_HF_D_1_P13.jpeg,1.019,6.045,
111,SAMRAC_HF_D_1_P13.jpeg,1.383,7.312,
112,SAMRAC_HF_D_1_P13.jpeg,0.52,5.422,
113,SAMRAC_HF_D_2_P13.jpg,96.798,73.561,94.274
114,SAMRAC_HF_D_2_P13.jpg,0.041,0.956,
115,SAMRAC_HF_D_2_P13.jpg,0.066,1.464,
116,SAMRAC_HF_D_2_P13.jpg,1.042,7.237,
117,SAMRAC_HF_D_2_P13.jpg,0.144,2.277,
118,SAMRAC_HF_D_2_P13.jpg,0.254,3.576,
119,SAMRAC_HF_D_2_P13.jpg,0.758,5.203,
